"activity"	"subject"	"mean(value)"
"SITTING"	"253-tBodyGyroJerkMag-mean()"	-0.987880071435003
"SITTING"	"266-fBodyAcc-mean()-X"	-0.983091966702307
"SITTING"	"267-fBodyAcc-mean()-Y"	-0.947917966193585
"SITTING"	"268-fBodyAcc-mean()-Z"	-0.957031035425999
"SITTING"	"345-fBodyAccJerk-mean()-X"	-0.985188769302195
"SITTING"	"346-fBodyAccJerk-mean()-Y"	-0.973988189836804
"SITTING"	"347-fBodyAccJerk-mean()-Z"	-0.97956197226224
"SITTING"	"424-fBodyGyro-mean()-X"	-0.977267261395611
"SITTING"	"425-fBodyGyro-mean()-Y"	-0.972457592965672
"SITTING"	"426-fBodyGyro-mean()-Z"	-0.961028716797974
"SITTING"	"503-fBodyAccMag-mean()"	-0.952410413225098
"SITTING"	"516-fBodyBodyAccJerkMag-mean()"	-0.978684370388295
"SITTING"	"529-fBodyBodyGyroMag-mean()"	-0.964296113911086
"SITTING"	"542-fBodyBodyGyroJerkMag-mean()"	-0.985335632976927
"SITTING"	"4-tBodyAcc-std()-X"	-0.983446221750141
"SITTING"	"5-tBodyAcc-std()-Y"	-0.934880562895515
"SITTING"	"6-tBodyAcc-std()-Z"	-0.938981580616207
"SITTING"	"44-tGravityAcc-std()-X"	-0.979682230393922
"SITTING"	"45-tGravityAcc-std()-Y"	-0.957672740350591
"SITTING"	"46-tGravityAcc-std()-Z"	-0.947357438593134
"SITTING"	"84-tBodyAccJerk-std()-X"	-0.984997226336522
"SITTING"	"85-tBodyAccJerk-std()-Y"	-0.973883160517726
"SITTING"	"86-tBodyAccJerk-std()-Z"	-0.982296486972425
"SITTING"	"124-tBodyGyro-std()-X"	-0.981022213218908
"SITTING"	"125-tBodyGyro-std()-Y"	-0.966708127310073
"SITTING"	"126-tBodyGyro-std()-Z"	-0.958007496724817
"SITTING"	"164-tBodyGyroJerk-std()-X"	-0.985705127658976
"SITTING"	"165-tBodyGyroJerk-std()-Y"	-0.986502338745076
"SITTING"	"166-tBodyGyroJerk-std()-Z"	-0.983805514068655
"SITTING"	"202-tBodyAccMag-std()"	-0.939324188353517
"SITTING"	"215-tGravityAccMag-std()"	-0.939324188353517
"SITTING"	"228-tBodyAccJerkMag-std()"	-0.978907079240293
"SITTING"	"241-tBodyGyroMag-std()"	-0.951199015615082
"SITTING"	"254-tBodyGyroJerkMag-std()"	-0.98460762855937
"SITTING"	"269-fBodyAcc-std()-X"	-0.983747266764209
"SITTING"	"270-fBodyAcc-std()-Y"	-0.932533490271469
"SITTING"	"271-fBodyAcc-std()-Z"	-0.934336687975915
"SITTING"	"348-fBodyAccJerk-std()-X"	-0.98618495368036
"SITTING"	"349-fBodyAccJerk-std()-Y"	-0.975750855391109
"SITTING"	"350-fBodyAccJerk-std()-Z"	-0.983670821046708
"SITTING"	"427-fBodyGyro-std()-X"	-0.982333273978616
"SITTING"	"428-fBodyGyro-std()-Y"	-0.964033658897017
"SITTING"	"429-fBodyGyro-std()-Z"	-0.961030235486775
"SITTING"	"504-fBodyAccMag-std()"	-0.942000150701182
"SITTING"	"517-fBodyBodyAccJerkMag-std()"	-0.978154770658413
"SITTING"	"530-fBodyBodyGyroMag-std()"	-0.951641735873945
"SITTING"	"543-fBodyBodyGyroJerkMag-std()"	-0.984491355740011
"STANDING"	"1-tBodyAcc-mean()-X"	0.279153494050367
"STANDING"	"2-tBodyAcc-mean()-Y"	-0.016151886473745
"STANDING"	"3-tBodyAcc-mean()-Z"	-0.106586908690788
"STANDING"	"41-tGravityAcc-mean()-X"	0.941479635262329
"STANDING"	"42-tGravityAcc-mean()-Y"	-0.18424651390288
"STANDING"	"43-tGravityAcc-mean()-Z"	-0.0140519613122015
"STANDING"	"81-tBodyAccJerk-mean()-X"	0.0750279173525708
"STANDING"	"82-tBodyAccJerk-mean()-Y"	0.00880525863452886
"STANDING"	"83-tBodyAccJerk-mean()-Z"	-0.00458206132902833
"STANDING"	"121-tBodyGyro-mean()-X"	-0.0266871408413746
"STANDING"	"122-tBodyGyro-mean()-Y"	-0.0677118654705719
"STANDING"	"123-tBodyGyro-mean()-Z"	0.0801422394994229
"STANDING"	"161-tBodyGyroJerk-mean()-X"	-0.0997292806919727
"STANDING"	"162-tBodyGyroJerk-mean()-Y"	-0.0423171100101784
"STANDING"	"163-tBodyGyroJerk-mean()-Z"	-0.052095548445404
"STANDING"	"201-tBodyAccMag-mean()"	-0.954179661789087
"STANDING"	"214-tGravityAccMag-mean()"	-0.954179661789087
"STANDING"	"227-tBodyAccJerkMag-mean()"	-0.97711802452256
"STANDING"	"240-tBodyGyroMag-mean()"	-0.942152523158447
"STANDING"	"253-tBodyGyroJerkMag-mean()"	-0.978697092402938
"STANDING"	"266-fBodyAcc-mean()-X"	-0.98162230498426
"STANDING"	"267-fBodyAcc-mean()-Y"	-0.943132376852046
"STANDING"	"268-fBodyAcc-mean()-Z"	-0.957359650828961
"STANDING"	"345-fBodyAccJerk-mean()-X"	-0.980008693961175
"STANDING"	"346-fBodyAccJerk-mean()-Y"	-0.96454742224554
"STANDING"	"347-fBodyAccJerk-mean()-Z"	-0.976157838746065
"STANDING"	"424-fBodyGyro-mean()-X"	-0.943654258352571
"STANDING"	"425-fBodyGyro-mean()-Y"	-0.965302753756558
"STANDING"	"426-fBodyGyro-mean()-Z"	-0.958384988536201
"STANDING"	"503-fBodyAccMag-mean()"	-0.955868098520462
"STANDING"	"516-fBodyBodyAccJerkMag-mean()"	-0.971090423866737
"STANDING"	"529-fBodyBodyGyroMag-mean()"	-0.94790849906086
"STANDING"	"542-fBodyBodyGyroJerkMag-mean()"	-0.974885979685205
"STANDING"	"4-tBodyAcc-std()-X"	-0.98443471156873
"STANDING"	"5-tBodyAcc-std()-Y"	-0.932508714024134
"STANDING"	"6-tBodyAcc-std()-Z"	-0.939913504673138
"STANDING"	"44-tGravityAcc-std()-X"	-0.988015176652676
"STANDING"	"45-tGravityAcc-std()-Y"	-0.969351769994753
"STANDING"	"46-tGravityAcc-std()-Z"	-0.953082525826338
"STANDING"	"84-tBodyAccJerk-std()-X"	-0.97996855569255
"STANDING"	"85-tBodyAccJerk-std()-Y"	-0.964342752203568
"STANDING"	"86-tBodyAccJerk-std()-Z"	-0.979485931469045
"STANDING"	"124-tBodyGyro-std()-X"	-0.94552836296957
"STANDING"	"125-tBodyGyro-std()-Y"	-0.961293278672613
"STANDING"	"126-tBodyGyro-std()-Z"	-0.957053051274921
"STANDING"	"164-tBodyGyroJerk-std()-X"	-0.966957942859391
"STANDING"	"165-tBodyGyroJerk-std()-Y"	-0.980263299260231
"STANDING"	"166-tBodyGyroJerk-std()-Z"	-0.977067117235047
"STANDING"	"202-tBodyAccMag-std()"	-0.946534779481637
"STANDING"	"215-tGravityAccMag-std()"	-0.946534779481637
"STANDING"	"228-tBodyAccJerkMag-std()"	-0.971452977271773
"STANDING"	"241-tBodyGyroMag-std()"	-0.929531182355719
"STANDING"	"254-tBodyGyroJerkMag-std()"	-0.973528580524659
"STANDING"	"269-fBodyAcc-std()-X"	-0.985859786930745
"STANDING"	"270-fBodyAcc-std()-Y"	-0.931132967334732
"STANDING"	"271-fBodyAcc-std()-Z"	-0.935439598488982
"STANDING"	"348-fBodyAccJerk-std()-X"	-0.981826075755509
"STANDING"	"349-fBodyAccJerk-std()-Y"	-0.966831630482686
"STANDING"	"350-fBodyAccJerk-std()-Z"	-0.981509250650577
"STANDING"	"427-fBodyGyro-std()-X"	-0.946971557429171
"STANDING"	"428-fBodyGyro-std()-Y"	-0.959498600608604
"STANDING"	"429-fBodyGyro-std()-Z"	-0.960689223903463
"STANDING"	"504-fBodyAccMag-std()"	-0.949601613473977
"STANDING"	"517-fBodyBodyAccJerkMag-std()"	-0.970947966726128
"STANDING"	"530-fBodyBodyGyroMag-std()"	-0.93063670339979
"STANDING"	"543-fBodyBodyGyroJerkMag-std()"	-0.973461064197272
"WALKING"	"1-tBodyAcc-mean()-X"	0.276336875325203
"WALKING"	"2-tBodyAcc-mean()-Y"	-0.0179068331339779
"WALKING"	"3-tBodyAcc-mean()-Z"	-0.108881687638618
"WALKING"	"41-tGravityAcc-mean()-X"	0.93499157825784
"WALKING"	"42-tGravityAcc-mean()-Y"	-0.196713497359117
"WALKING"	"43-tGravityAcc-mean()-Z"	-0.0538251249015482
"WALKING"	"81-tBodyAccJerk-mean()-X"	0.0767187377408595
"WALKING"	"82-tBodyAccJerk-mean()-Y"	0.0115061924659823
"WALKING"	"83-tBodyAccJerk-mean()-Z"	-0.00231938614930952
"WALKING"	"121-tBodyGyro-mean()-X"	-0.0347275766522822
"WALKING"	"122-tBodyGyro-mean()-Y"	-0.0694200436104837
"WALKING"	"123-tBodyGyro-mean()-Z"	0.0863626487285566
"WALKING"	"161-tBodyGyroJerk-mean()-X"	-0.0943007119992102
"WALKING"	"162-tBodyGyroJerk-mean()-Y"	-0.0445701108594715
"WALKING"	"163-tBodyGyroJerk-mean()-Z"	-0.0540064674427816
"WALKING"	"201-tBodyAccMag-mean()"	-0.167937853979757
"WALKING"	"214-tGravityAccMag-mean()"	-0.167937853979757
"WALKING"	"227-tBodyAccJerkMag-mean()"	-0.241451989838379
"WALKING"	"240-tBodyGyroMag-mean()"	-0.274866019270244
"WALKING"	"253-tBodyGyroJerkMag-mean()"	-0.460511516745528
"WALKING"	"266-fBodyAcc-mean()-X"	-0.297890931822619
"WALKING"	"267-fBodyAcc-mean()-Y"	-0.0423392245272938
"WALKING"	"268-fBodyAcc-mean()-Z"	-0.341840674953966
"WALKING"	"345-fBodyAccJerk-mean()-X"	-0.31112743843018
"WALKING"	"346-fBodyAccJerk-mean()-Y"	-0.170395065771795
"WALKING"	"347-fBodyAccJerk-mean()-Z"	-0.451010514389593
"WALKING"	"424-fBodyGyro-mean()-X"	-0.348237370890012
"WALKING"	"425-fBodyGyro-mean()-Y"	-0.388384886139303
"WALKING"	"426-fBodyGyro-mean()-Z"	-0.310406242610407
"WALKING"	"503-fBodyAccMag-mean()"	-0.275558097404657
"WALKING"	"516-fBodyBodyAccJerkMag-mean()"	-0.214653971925401
"WALKING"	"529-fBodyBodyGyroMag-mean()"	-0.409173038476359
"WALKING"	"542-fBodyBodyGyroJerkMag-mean()"	-0.515516844208937
"WALKING"	"4-tBodyAcc-std()-X"	-0.314644454310285
"WALKING"	"5-tBodyAcc-std()-Y"	-0.0235829464260859
"WALKING"	"6-tBodyAcc-std()-Z"	-0.2739207990668
"WALKING"	"44-tGravityAcc-std()-X"	-0.977612074494773
"WALKING"	"45-tGravityAcc-std()-Y"	-0.966903875917538
"WALKING"	"46-tGravityAcc-std()-Z"	-0.954597565156794
"WALKING"	"84-tBodyAccJerk-std()-X"	-0.267288163330981
"WALKING"	"85-tBodyAccJerk-std()-Y"	-0.103141139217389
"WALKING"	"86-tBodyAccJerk-std()-Z"	-0.479147120981986
"WALKING"	"124-tBodyGyro-std()-X"	-0.469914839340418
"WALKING"	"125-tBodyGyro-std()-Y"	-0.347921806314175
"WALKING"	"126-tBodyGyro-std()-Z"	-0.338448612532172
"WALKING"	"164-tBodyGyroJerk-std()-X"	-0.37622140274036
"WALKING"	"165-tBodyGyroJerk-std()-Y"	-0.512619067859872
"WALKING"	"166-tBodyGyroJerk-std()-Z"	-0.447427245411672
"WALKING"	"202-tBodyAccMag-std()"	-0.33775398556687
"WALKING"	"215-tGravityAccMag-std()"	-0.33775398556687
"WALKING"	"228-tBodyAccJerkMag-std()"	-0.214555894362491
"WALKING"	"241-tBodyGyroMag-std()"	-0.382629015979094
"WALKING"	"254-tBodyGyroJerkMag-std()"	-0.498841024689745
"WALKING"	"269-fBodyAcc-std()-X"	-0.322835798362427
"WALKING"	"270-fBodyAcc-std()-Y"	-0.0772063416317422
"WALKING"	"271-fBodyAcc-std()-Z"	-0.296078309260848
"WALKING"	"348-fBodyAccJerk-std()-X"	-0.287897688500499
"WALKING"	"349-fBodyAccJerk-std()-Y"	-0.0908699078702335
"WALKING"	"350-fBodyAccJerk-std()-Z"	-0.506329080412654
"WALKING"	"427-fBodyGyro-std()-X"	-0.510431986710081
"WALKING"	"428-fBodyGyro-std()-Y"	-0.331961524686347
"WALKING"	"429-fBodyGyro-std()-Z"	-0.410569112536585
"WALKING"	"504-fBodyAccMag-std()"	-0.480002278144599
"WALKING"	"517-fBodyBodyAccJerkMag-std()"	-0.221617770280105
"WALKING"	"530-fBodyBodyGyroMag-std()"	-0.47383309359518
"WALKING"	"543-fBodyBodyGyroJerkMag-std()"	-0.514404823691173
"WALKING_DOWNSTAIRS"	"1-tBodyAcc-mean()-X"	0.288137227760313
"WALKING_DOWNSTAIRS"	"2-tBodyAcc-mean()-Y"	-0.0163119254923574
"WALKING_DOWNSTAIRS"	"3-tBodyAcc-mean()-Z"	-0.105761624860013
"WALKING_DOWNSTAIRS"	"41-tGravityAcc-mean()-X"	0.926457404928876
"WALKING_DOWNSTAIRS"	"42-tGravityAcc-mean()-Y"	-0.168507222023357
"WALKING_DOWNSTAIRS"	"43-tGravityAcc-mean()-Z"	-0.0479709004743904
"WALKING_DOWNSTAIRS"	"81-tBodyAccJerk-mean()-X"	0.0892266917679481
"WALKING_DOWNSTAIRS"	"82-tBodyAccJerk-mean()-Y"	0.000746749097403983
"WALKING_DOWNSTAIRS"	"83-tBodyAccJerk-mean()-Z"	-0.00872860399406828
"WALKING_DOWNSTAIRS"	"121-tBodyGyro-mean()-X"	-0.0840345434632895
"WALKING_DOWNSTAIRS"	"122-tBodyGyro-mean()-Y"	-0.0529928638977233
"WALKING_DOWNSTAIRS"	"123-tBodyGyro-mean()-Z"	0.0946781961059175
"WALKING_DOWNSTAIRS"	"161-tBodyGyroJerk-mean()-X"	-0.0728532273938407
"WALKING_DOWNSTAIRS"	"162-tBodyGyroJerk-mean()-Y"	-0.051263979292845
"WALKING_DOWNSTAIRS"	"163-tBodyGyroJerk-mean()-Z"	-0.0546961525371337
"WALKING_DOWNSTAIRS"	"201-tBodyAccMag-mean()"	0.101249699851558
"WALKING_DOWNSTAIRS"	"214-tGravityAccMag-mean()"	0.101249699851558
"WALKING_DOWNSTAIRS"	"227-tBodyAccJerkMag-mean()"	-0.111801821250135
"WALKING_DOWNSTAIRS"	"240-tBodyGyroMag-mean()"	-0.129785639782795
"WALKING_DOWNSTAIRS"	"253-tBodyGyroJerkMag-mean()"	-0.416891551237909
"WALKING_DOWNSTAIRS"	"266-fBodyAcc-mean()-X"	0.035259668648926
"WALKING_DOWNSTAIRS"	"267-fBodyAcc-mean()-Y"	0.0566826541965861
"WALKING_DOWNSTAIRS"	"268-fBodyAcc-mean()-Z"	-0.21372923278293
"WALKING_DOWNSTAIRS"	"345-fBodyAccJerk-mean()-X"	-0.0722967761178656
"WALKING_DOWNSTAIRS"	"346-fBodyAccJerk-mean()-Y"	-0.116380593184566
"WALKING_DOWNSTAIRS"	"347-fBodyAccJerk-mean()-Z"	-0.333190280461238
"WALKING_DOWNSTAIRS"	"424-fBodyGyro-mean()-X"	-0.217922875601003
"WALKING_DOWNSTAIRS"	"425-fBodyGyro-mean()-Y"	-0.317592694113158
"WALKING_DOWNSTAIRS"	"426-fBodyGyro-mean()-Z"	-0.16562514453862
"WALKING_DOWNSTAIRS"	"503-fBodyAccMag-mean()"	0.142849426284481
"WALKING_DOWNSTAIRS"	"516-fBodyBodyAccJerkMag-mean()"	0.00476245916278094
"WALKING_DOWNSTAIRS"	"529-fBodyBodyGyroMag-mean()"	-0.289525832505356
"WALKING_DOWNSTAIRS"	"542-fBodyBodyGyroJerkMag-mean()"	-0.438007290282333
"WALKING_DOWNSTAIRS"	"4-tBodyAcc-std()-X"	0.100766330932127
"WALKING_DOWNSTAIRS"	"5-tBodyAcc-std()-Y"	0.0595486228783642
"WALKING_DOWNSTAIRS"	"6-tBodyAcc-std()-Z"	-0.190804507442162
"WALKING_DOWNSTAIRS"	"44-tGravityAcc-std()-X"	-0.949748838733997
"WALKING_DOWNSTAIRS"	"45-tGravityAcc-std()-Y"	-0.934266078534851
"WALKING_DOWNSTAIRS"	"46-tGravityAcc-std()-Z"	-0.912460554516358
"WALKING_DOWNSTAIRS"	"84-tBodyAccJerk-std()-X"	-0.0338826468930654
"WALKING_DOWNSTAIRS"	"85-tBodyAccJerk-std()-Y"	-0.0736744063550434
"WALKING_DOWNSTAIRS"	"86-tBodyAccJerk-std()-Z"	-0.388666069444772
"WALKING_DOWNSTAIRS"	"124-tBodyGyro-std()-X"	-0.333817475057255
"WALKING_DOWNSTAIRS"	"125-tBodyGyro-std()-Y"	-0.339631376954339
"WALKING_DOWNSTAIRS"	"126-tBodyGyro-std()-Z"	-0.272809910672304
"WALKING_DOWNSTAIRS"	"164-tBodyGyroJerk-std()-X"	-0.38268977198606
"WALKING_DOWNSTAIRS"	"165-tBodyGyroJerk-std()-Y"	-0.465943810555121
"WALKING_DOWNSTAIRS"	"166-tBodyGyroJerk-std()-Z"	-0.326455992480064
"WALKING_DOWNSTAIRS"	"202-tBodyAccMag-std()"	0.116488914352198
"WALKING_DOWNSTAIRS"	"215-tGravityAccMag-std()"	0.116488914352198
"WALKING_DOWNSTAIRS"	"228-tBodyAccJerkMag-std()"	-0.011220665881458
"WALKING_DOWNSTAIRS"	"241-tBodyGyroMag-std()"	-0.251427800988919
"WALKING_DOWNSTAIRS"	"254-tBodyGyroJerkMag-std()"	-0.440929331631124
"WALKING_DOWNSTAIRS"	"269-fBodyAcc-std()-X"	0.121937984843535
"WALKING_DOWNSTAIRS"	"270-fBodyAcc-std()-Y"	-0.0082336714233357
"WALKING_DOWNSTAIRS"	"271-fBodyAcc-std()-Z"	-0.245872896782916
"WALKING_DOWNSTAIRS"	"348-fBodyAccJerk-std()-X"	-0.0821905158144886
"WALKING_DOWNSTAIRS"	"349-fBodyAccJerk-std()-Y"	-0.091416460479564
"WALKING_DOWNSTAIRS"	"350-fBodyAccJerk-std()-Z"	-0.443554664639787
"WALKING_DOWNSTAIRS"	"427-fBodyGyro-std()-X"	-0.375127467913848
"WALKING_DOWNSTAIRS"	"428-fBodyGyro-std()-Y"	-0.36185368284522
"WALKING_DOWNSTAIRS"	"429-fBodyGyro-std()-Z"	-0.38040999928478
"WALKING_DOWNSTAIRS"	"504-fBodyAccMag-std()"	-0.0754251669550853
"WALKING_DOWNSTAIRS"	"517-fBodyBodyAccJerkMag-std()"	-0.0422714225290824
"WALKING_DOWNSTAIRS"	"530-fBodyBodyGyroMag-std()"	-0.361230992213905
"WALKING_DOWNSTAIRS"	"543-fBodyBodyGyroJerkMag-std()"	-0.486442976081671
"WALKING_UPSTAIRS"	"1-tBodyAcc-mean()-X"	0.26229464948342
"WALKING_UPSTAIRS"	"2-tBodyAcc-mean()-Y"	-0.0259232890342181
"WALKING_UPSTAIRS"	"3-tBodyAcc-mean()-Z"	-0.120537934670272
"WALKING_UPSTAIRS"	"41-tGravityAcc-mean()-X"	0.875003375958549
"WALKING_UPSTAIRS"	"42-tGravityAcc-mean()-Y"	-0.281377193548575
"WALKING_UPSTAIRS"	"43-tGravityAcc-mean()-Z"	-0.14079566587547
"WALKING_UPSTAIRS"	"81-tBodyAccJerk-mean()-X"	0.0767293215286917
"WALKING_UPSTAIRS"	"82-tBodyAccJerk-mean()-Y"	0.00875888964679404
"WALKING_UPSTAIRS"	"83-tBodyAccJerk-mean()-Z"	-0.00600953398545337
"WALKING_UPSTAIRS"	"121-tBodyGyro-mean()-X"	0.00682449600215674
"WALKING_UPSTAIRS"	"122-tBodyGyro-mean()-Y"	-0.0885225289752966
"WALKING_UPSTAIRS"	"123-tBodyGyro-mean()-Z"	0.0598938080367487
"WALKING_UPSTAIRS"	"161-tBodyGyroJerk-mean()-X"	-0.112117464583562
"WALKING_UPSTAIRS"	"162-tBodyGyroJerk-mean()-Y"	-0.0386192672141386
"WALKING_UPSTAIRS"	"163-tBodyGyroJerk-mean()-Z"	-0.0525810278118912
"WALKING_UPSTAIRS"	"201-tBodyAccMag-mean()"	-0.100204123946392
"WALKING_UPSTAIRS"	"214-tGravityAccMag-mean()"	-0.100204123946392
"WALKING_UPSTAIRS"	"227-tBodyAccJerkMag-mean()"	-0.390938624541516
"WALKING_UPSTAIRS"	"240-tBodyGyroMag-mean()"	-0.178281147518361
"WALKING_UPSTAIRS"	"253-tBodyGyroJerkMag-mean()"	-0.608047148013666
"WALKING_UPSTAIRS"	"266-fBodyAcc-mean()-X"	-0.293406752279022
"WALKING_UPSTAIRS"	"267-fBodyAcc-mean()-Y"	-0.134950514403271
"WALKING_UPSTAIRS"	"268-fBodyAcc-mean()-Z"	-0.368122061042293
"WALKING_UPSTAIRS"	"345-fBodyAccJerk-mean()-X"	-0.389896773119819
"WALKING_UPSTAIRS"	"346-fBodyAccJerk-mean()-Y"	-0.364666839787014
"WALKING_UPSTAIRS"	"347-fBodyAccJerk-mean()-Z"	-0.591670061637306
"WALKING_UPSTAIRS"	"424-fBodyGyro-mean()-X"	-0.394248174023122
"WALKING_UPSTAIRS"	"425-fBodyGyro-mean()-Y"	-0.45925346898967
"WALKING_UPSTAIRS"	"426-fBodyGyro-mean()-Z"	-0.296857721646179
"WALKING_UPSTAIRS"	"503-fBodyAccMag-mean()"	-0.26202811322658
"WALKING_UPSTAIRS"	"516-fBodyBodyAccJerkMag-mean()"	-0.353961999926425
"WALKING_UPSTAIRS"	"529-fBodyBodyGyroMag-mean()"	-0.449781382648834
"WALKING_UPSTAIRS"	"542-fBodyBodyGyroJerkMag-mean()"	-0.658694456439443
"WALKING_UPSTAIRS"	"4-tBodyAcc-std()-X"	-0.237989747950635
"WALKING_UPSTAIRS"	"5-tBodyAcc-std()-Y"	-0.0160325123253303
"WALKING_UPSTAIRS"	"6-tBodyAcc-std()-Z"	-0.175449700484728
